0	110.5343
0.001	110.7227941598
0.002	110.9112808781
0.003	111.0997527139
0.004	111.2882022266
0.005	111.4766219767
0.006	111.6650045255
0.007	111.8533424361
0.008	112.0416282733
0.009	112.2298546038
0.01	112.4180139969
0.011	112.6060990242
0.012	112.7941022607
0.013	112.9820162841
0.014	113.1698336761
0.015	113.3575470219
0.016	113.545148911
0.017	113.732631937
0.018	113.9199886986
0.019	114.1072117993
0.02	114.2942938477
0.021	114.4812274583
0.022	114.6680052512
0.023	114.8546198528
0.024	115.0410638958
0.025	115.2273300198
0.026	115.4134108714
0.027	115.5992991043
0.028	115.78498738
0.029	115.970468368
0.03	116.1557347457
0.031	116.3407791992
0.032	116.5255944232
0.033	116.7101731215
0.034	116.8945080074
0.035	117.0785918036
0.036	117.2624172427
0.037	117.4459770678
0.038	117.6292640322
0.039	117.8122709
0.04	117.9949904464
0.041	118.1774154581
0.042	118.3595387331
0.043	118.5413530817
0.044	118.7228513261
0.045	118.904026301
0.046	119.084870854
0.047	119.2653778457
0.048	119.4455401499
0.049	119.6253506543
0.05	119.8048022601
0.051	119.983887883
0.052	120.162600453
0.053	120.3409329148
0.054	120.5188782282
0.055	120.6964293682
0.056	120.8735793254
0.057	121.0503211063
0.058	121.2266477333
0.059	121.4025522455
0.06	121.5780276985
0.061	121.7530671647
0.062	121.9276637339
0.063	122.1018105134
0.064	122.2755006282
0.065	122.4487272212
0.066	122.6214834539
0.067	122.793762506
0.068	122.9655575764
0.069	123.1368618829
0.07	123.3076686626
0.071	123.4779711724
0.072	123.6477626892
0.073	123.8170365098
0.074	123.9857859515
0.075	124.1540043525
0.076	124.3216850719
0.077	124.4888214898
0.078	124.655407008
0.079	124.82143505
0.08	124.9868990613
0.081	125.1517925098
0.082	125.3161088856
0.083	125.479841702
0.084	125.6429844949
0.085	125.8055308238
0.086	125.9674742717
0.087	126.1288084454
0.088	126.2895269756
0.089	126.4496235175
0.09	126.6090917507
0.091	126.7679253797
0.092	126.9261181341
0.093	127.0836637686
0.094	127.2405560637
0.095	127.3967888256
0.096	127.5523558864
0.097	127.7072511046
0.098	127.8614683652
0.099	128.0150015801
0.1	128.167844688
0.101	128.3199916549
0.102	128.4714364743
0.103	128.6221731675
0.104	128.7721957836
0.105	128.9214984001
0.106	129.0700751227
0.107	129.2179200858
0.108	129.3650274529
0.109	129.5113914163
0.11	129.6570061979
0.111	129.8018660491
0.112	129.9459652511
0.113	130.0892981151
0.114	130.2318589825
0.115	130.3736422253
0.116	130.5146422462
0.117	130.6548534788
0.118	130.7942703877
0.119	130.932887469
0.12	131.0706992503
0.121	131.2077002911
0.122	131.3438851829
0.123	131.4792485493
0.124	131.6137850463
0.125	131.7474893628
0.126	131.8803562203
0.127	132.0123803735
0.128	132.1435566103
0.129	132.273879752
0.13	132.4033446539
0.131	132.5319462047
0.132	132.6596793277
0.133	132.78653898
0.134	132.9125201534
0.135	133.0376178746
0.136	133.1618272048
0.137	133.2851432405
0.138	133.4075611134
0.139	133.5290759906
0.14	133.649683075
0.141	133.7693776052
0.142	133.8881548558
0.143	134.0060101378
0.144	134.1229387984
0.145	134.2389362216
0.146	134.3539978278
0.147	134.4681190748
0.148	134.5812954572
0.149	134.6935225069
0.15	134.8047957936
0.151	134.9151109242
0.152	135.0244635438
0.153	135.1328493353
0.154	135.2402640199
0.155	135.3467033569
0.156	135.4521631444
0.157	135.556639219
0.158	135.6601274561
0.159	135.7626237703
0.16	135.8641241152
0.161	135.9646244836
0.162	136.0641209081
0.163	136.1626094606
0.164	136.2600862531
0.165	136.3565474373
0.166	136.4519892051
0.167	136.5464077887
0.168	136.6397994605
0.169	136.7321605337
0.17	136.8234873619
0.171	136.9137763397
0.172	137.0030239028
0.173	137.0912265277
0.174	137.1783807324
0.175	137.2644830762
0.176	137.34953016
0.177	137.4335186261
0.178	137.516445159
0.179	137.5983064847
0.18	137.6790993717
0.181	137.7588206302
0.182	137.8374671131
0.183	137.9150357155
0.184	137.9915233752
0.185	138.0669270726
0.186	138.1412438308
0.187	138.214470716
0.188	138.2866048373
0.189	138.357643347
0.19	138.4275834405
0.191	138.4964223569
0.192	138.5641573784
0.193	138.630785831
0.194	138.6963050843
0.195	138.7607125518
0.196	138.8240056907
0.197	138.8861820024
0.198	138.9472390322
0.199	139.0071743697
0.2	139.0659856488
0.201	139.1236705477
0.202	139.1802267891
0.203	139.2356521402
0.204	139.2899444131
0.205	139.3431014643
0.206	139.3951211952
0.207	139.4460015522
0.208	139.4957405267
0.209	139.5443361551
0.21	139.5917865188
0.211	139.6380897447
0.212	139.6832440047
0.213	139.7272475163
0.214	139.7700985422
0.215	139.8117953908
0.216	139.852336416
0.217	139.8917200172
0.218	139.9299446398
0.219	139.9670087746
0.22	140.0029109584
0.221	140.0376497738
0.222	140.0712238495
0.223	140.10363186
0.224	140.1348725259
0.225	140.1649446138
0.226	140.1938469366
0.227	140.2215783532
0.228	140.2481377689
0.229	140.2735241352
0.23	140.2977364498
0.231	140.3207737568
0.232	140.3426351469
0.233	140.3633197569
0.234	140.3828267703
0.235	140.4011554169
0.236	140.4183049733
0.237	140.4342747623
0.238	140.4490641534
0.239	140.4626725629
0.24	140.4750994535
0.241	140.4863443346
0.242	140.4964067622
0.243	140.5052863392
0.244	140.512982715
0.245	140.5194955857
0.246	140.5248246942
0.247	140.5289698302
0.248	140.5319308299
0.249	140.5337075766
0.25	140.5343
0.251	140.5337080768
0.252	140.5319318303
0.253	140.5289713306
0.254	140.5248266948
0.255	140.5194980862
0.256	140.5129857154
